lat,long
51.598592,-0.177655
51.601044,-0.17405
51.602137,-0.17199
51.602935,-0.170147
51.603655,-0.168087
51.604242,-0.16607
51.605018,-0.164127
51.605418,-0.163097
51.605711,-0.161809
51.605844,-0.160393
51.605818,-0.159234
51.605711,-0.157775
51.605765,-0.156359
51.606058,-0.154728
51.606298,-0.153098
51.606617,-0.151553
51.607284,-0.149278
51.60779,-0.147282
51.60867,-0.144664
51.609447,-0.142208
51.609874,-0.14032
51.61062,-0.137702
51.610886,-0.136286
51.611583,-0.13495
51.611956,-0.134349
51.612809,-0.133147
51.613528,-0.13186
51.614141,-0.129886
51.614718,-0.128713
51.614958,-0.127812
51.614561,-0.126516
51.614001,-0.124971
51.613468,-0.123255
51.612988,-0.121538
51.612775,-0.120079
51.612454,-0.118629
51.612481,-0.117471
51.612534,-0.116269
51.612587,-0.114724
51.61264,-0.112994
51.612614,-0.111535
51.612454,-0.110591
51.612374,-0.109046
51.612401,-0.107973
51.613436,-0.10488
51.614396,-0.102048
51.615142,-0.099773
51.615595,-0.0984
51.615968,-0.096598
51.616128,-0.093644
51.616261,-0.091327
51.616368,-0.088838
51.616448,-0.087078
51.616341,-0.085705
51.616101,-0.084417
51.615701,-0.0824
51.614944,-0.079711
51.614465,-0.078466
51.614331,-0.077179
51.614251,-0.075591
51.614331,-0.074432
51.614571,-0.073188
51.614811,-0.071986
51.614766,-0.06712
51.614704,-0.064894
51.614438,-0.062496
51.614251,-0.060522
51.613751,-0.05716
51.613404,-0.055143
51.613351,-0.053126
51.613085,-0.051881
51.612632,-0.050723
51.611885,-0.04892
51.611379,-0.047676
51.611326,-0.046517
51.611486,-0.045144
51.611752,-0.043899
51.612338,-0.041882
51.612942,-0.039828
51.613102,-0.038412
51.613156,-0.037296
51.612996,-0.035923
51.612729,-0.034249
51.612347,-0.033048
51.611654,-0.031932
51.610748,-0.030859
51.609815,-0.030687
51.608563,-0.030215
51.607044,-0.028241
51.606137,-0.026439
51.605151,-0.024465
51.603792,-0.02189
51.602646,-0.01983
51.601642,-0.018328
51.601109,-0.016912
51.600682,-0.014894
51.600362,-0.012792
51.600442,-0.010474
51.600469,-0.007685
51.600515,-0.005254
51.600462,-0.003709
51.600035,-0.001478
51.599822,-0.000019
51.599049,0.001998
51.598329,0.004058
51.596904,0.007358
51.595891,0.010105
51.595492,0.011736
51.595278,0.013924
51.595278,0.016242
51.595505,0.018838
51.596155,0.02238
51.596421,0.025084
51.596155,0.028045
51.595648,0.030749
51.594747,0.033693
51.59408,0.035109
51.592827,0.036397
51.59036,0.038414
51.588333,0.039658
51.586432,0.040216
51.584752,0.040088
51.583259,0.039873
51.580325,0.041075
51.578672,0.042362
51.577445,0.043049
51.57558,0.044621
51.574193,0.045651
51.572459,0.047797
51.570447,0.050134
51.568553,0.051722
51.565886,0.053739
51.563542,0.055994
51.561141,0.058183
51.55938,0.060758
51.557593,0.063633
51.556205,0.065435
51.554871,0.067023
51.552923,0.067367
51.549828,0.06801
51.547479,0.068439
51.545878,0.068439
51.54465,0.068268
51.54348,0.067667
51.542253,0.066852
51.541345,0.066551
51.540411,0.066594
51.53905,0.067109
51.5376,0.068182
51.536266,0.069169
51.53429,0.070671
51.532875,0.071615
51.531541,0.07213
51.530105,0.072368
51.52893,0.072325
51.525967,0.072797
51.524765,0.072883
51.524044,0.072754
51.522976,0.072497
51.52108,0.07314
51.519692,0.073355
51.51873,0.073054
51.517262,0.072668
51.51598,0.072153
51.515125,0.07151
