latb_out,lonb_out
51.5332477057068,-0.101979890654181
51.5332467999817,-0.101826377130445
51.5332505986507,-0.101672978208697
51.5332453125997,-0.101574277167785
51.5332447281385,-0.101475215436304
51.5332318602478,-0.101323095116475
51.533223668585,-0.101170140547689
51.5332107285929,-0.101073283070025
51.533202424989,-0.100975120371697
51.5331777978987,-0.100826792658265
51.5331577451138,-0.100676695026704
51.5331373552845,-0.100583208848265
51.5331214635124,-0.10048749351294
51.5330854656508,-0.100345297903885
51.5330538680539,-0.100200424764997
51.5328171355231,-0.0993004806522592
51.5327526570755,-0.0990927920559452
51.5326894850705,-0.0988840681765187
51.5326872171332,-0.0988784851159752
51.5326049915615,-0.0985493340713803
51.532596398185,-0.0985203458791352
51.5325898309275,-0.0984900193776621
51.5324699917654,-0.0980316075950552
51.5324491263795,-0.097891129098599
51.5324358550277,-0.0978344588388352
51.5324260081432,-0.097776011346246
51.5323805887087,-0.0975984650453152
51.5323385141679,-0.0974188017226114
51.5322565537666,-0.0971260425348552
51.5322071028927,-0.0969342407825958
51.5321921875808,-0.0968853245658852
51.5321803398877,-0.0968342857193186
51.5321231437572,-0.0966588886277352
51.5320841059684,-0.0965308604004852
51.5320055672549,-0.0962213360590552
51.5317677916424,-0.0952747483107125
51.5317411501568,-0.0951853193915252
51.5317188298217,-0.0950928841222499
51.5316734135669,-0.0949579443080252
51.5316321907731,-0.0948195695212662
51.5315987864775,-0.0947362138806452
51.5315815206781,-0.0946849141031852
51.5315205506689,-0.094440635499726
51.5315175898518,-0.0944306399576152
51.5315153958189,-0.0944201459077362
51.5312368189197,-0.0933215820567055
51.5312361997706,-0.0933195212172852
51.531235744659,-0.093317352708668
51.5310522841391,-0.0925962545342152
51.5309713016858,-0.0922768883106952
51.5308463090934,-0.0917777974884297
51.5308446330653,-0.0917721563903652
51.5308433986501,-0.0917662282151272
51.5307913573652,-0.0915602822833952
51.5307847576788,-0.0915045578129758
51.5307549817647,-0.0913570670100752
51.5307296890353,-0.0912074290721104
51.5307065725414,-0.0911172787310252
