latb_in,lonb_in
51.5290194529341,-0.10709490691759
51.5290435568635,-0.107133031034665
51.5290652080217,-0.107174785421317
51.5291553741465,-0.107309887476415
51.5292432368455,-0.107448856014206
51.529283474713,-0.107504956992065
51.5292253296771,-0.109140515406375
51.5292179279947,-0.109196618350701
51.5292119688019,-0.109261694725395
51.5292022774447,-0.1093256010741
51.5290989883771,-0.110257676271512
51.5290946234405,-0.110319251454675
51.5290866502228,-0.110379885441795
51.528966731046,-0.111695390592715
51.5289262334002,-0.111703591585015
51.5288457548902,-0.111736758640425
51.5287641970785,-0.111762211753098
51.5286938466266,-0.111799363549365
51.5286221174304,-0.111828924810164
51.5285448596092,-0.111878043005855
51.5284659294583,-0.111919725707313
51.5283990305285,-0.111970756742915
51.5283301718058,-0.112014535044779
51.5282963049393,-0.112044437366585
51.5282893092627,-0.112048973014567
51.5282485066332,-0.112085577567105
51.5281822952238,-0.11213608415662
51.5281199027814,-0.112200189423145
51.5280608661308,-0.112252315087835
51.5280312492809,-0.112278410221546
51.5280235100713,-0.112287424815065
51.5280151643761,-0.11229491184326
51.5279326111218,-0.112392622693505
51.5279177671426,-0.112407874176025
51.5279028100743,-0.112427895508825
51.527896428225,-0.112435449128945
51.5277770286646,-0.112574525153642
51.5277700533633,-0.112585027668135
51.5277623572385,-0.112594136877773
51.5276555152205,-0.112757484519765
51.5275479009774,-0.112919516250811
51.5275417995747,-0.112931341050515
51.5275348743828,-0.11294192877431
51.5274416112532,-0.113125510637825
51.5273474792956,-0.113307942712482
51.5273423479999,-0.113320903319895
51.5273363029451,-0.11333280258185
51.5272580893125,-0.113533723593155
51.5271789239911,-0.113733679062054
51.5271748437123,-0.113747571098025
51.5271697741191,-0.113760594247182
51.5271078433316,-0.113975685828295
51.5270448929151,-0.11419001173419
51.527041927984,-0.114204616169925
51.5270379138018,-0.114218557810729
51.5269754500499,-0.114476938709154
51.5269651996832,-0.114528766508725
51.5269640935272,-0.114532572337024
51.526957382223,-0.114566088601325
51.526938972179,-0.114637910586956
51.5269243495458,-0.114706982347769
51.5268983278741,-0.114861006117795
51.5268679060318,-0.115012932848993
51.5268634667396,-0.115050909110055
51.5268559676144,-0.115085202329802
51.5268541483544,-0.115095559457045
51.5268515688728,-0.115105490774294
51.526834838573,-0.115183325232696
51.5268329962536,-0.115194032179855
51.5268303688595,-0.115204307068503
51.5268153317918,-0.115275535017339
51.5268141002227,-0.115282849337045
51.5268123244796,-0.115289868702929
51.5267991758265,-0.115352930455385
51.5267842426581,-0.115423443566125
51.5267711649956,-0.115484838665236
51.526769698433,-0.115493455240615
51.526767594391,-0.115501723555382
51.5267533976549,-0.115569349932001
51.5267531439098,-0.115570867191175
51.526752774568,-0.115572321839237
51.5267381627961,-0.115642104732041
51.5267373100723,-0.115647219459765
51.526736073294,-0.115652127340987
51.5267164117488,-0.115746849972655
51.5266983017734,-0.115832924452885
51.5266956711453,-0.115844366587938
51.5266939347173,-0.115853680532505
51.526687142596,-0.115885962647594
51.526680220072,-0.115927243875315
51.5266764826303,-0.115947290963415
51.5266743818331,-0.115956171401275
51.5266609018955,-0.116009260906998
51.5266538053898,-0.116043151633455
51.5266527241995,-0.116047722014059
51.5266512801795,-0.116055211260175
51.5266470740912,-0.116075298242625
51.5266328262864,-0.116142901054669
51.5266302346976,-0.116158323814785
51.5266265340959,-0.116173150623257
51.5266123598631,-0.1162422028767
51.5266065389668,-0.116277968698435
51.5265983688612,-0.116312527106743
51.5265640021139,-0.116490898681385
51.5265580721338,-0.116519787192665
51.5265471541628,-0.116572500862135
51.5265352098451,-0.116628914497956
