MeasurementDateGMT,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3)
2016-04-11 10:00:00,62.4,63.5,155.8,23.2,49.8
2016-04-11 11:00:00,47.9,54.8,128.2,30.6,44.1
2016-04-11 12:00:00,53.1,69.9,151.4,24.7,43.6
2016-04-11 13:00:00,70.2,82.1,188.0,11.7,50.7
2016-04-11 14:00:00,81.4,78.5,208.4,9.7,53.3
2016-04-11 15:00:00,88.9,86.5,222.7,8.2,44.2
2016-04-11 16:00:00,78.4,82.1,202.3,8.7,41.2
2016-04-11 17:00:00,64.7,79.9,179.0,10.7,38.9
2016-04-11 18:00:00,62.8,84.1,180.4,10.7,35.8
2016-04-11 19:00:00,60.9,81.6,174.9,10.7,36.5
2016-04-11 20:00:00,91.1,99.5,239.2,4.8,39.1
2016-04-11 21:00:00,62.4,80.9,176.6,6.2,31.9
2016-04-11 22:00:00,71.4,84.9,192.2,7.7,30.4
2016-04-11 23:00:00,59.5,83.2,174.3,10.2,30.8
2016-04-12 00:00:00,40.2,72.2,133.9,15.0,24.1
2016-04-12 01:00:00,20.8,54.5,86.4,28.3,14.9
2016-04-12 02:00:00,23.3,51.2,86.9,28.6,16.1
2016-04-12 03:00:00,32.3,57.3,106.7,21.6,13.5
2016-04-12 04:00:00,43.4,66.6,133.2,19.1,11.9
2016-04-12 05:00:00,64.7,74.2,173.3,15.7,15.5
2016-04-12 06:00:00,90.4,93.7,232.3,8.7,16.4
2016-04-12 07:00:00,105.7,98.4,260.4,7.7,22.1
2016-04-12 08:00:00,111.3,90.7,261.3,10.7,44.4
2016-04-12 09:00:00,85.6,89.0,220.2,21.6,38.4
2016-04-12 10:00:00,77.4,73.6,192.9,28.6,30.0
2016-04-12 11:00:00,53.5,60.2,142.5,38.0,25.2
2016-04-12 12:00:00,67.3,73.6,176.8,34.0,28.5
2016-04-12 13:00:00,53.1,67.2,148.6,37.0,28.4
2016-04-12 14:00:00,52.8,70.8,151.7,38.5,31.6
2016-04-12 15:00:00,37.5,56.9,114.4,45.9,26.3
2016-04-12 16:00:00,34.5,61.0,113.9,46.9,22.9
2016-04-12 17:00:00,36.3,64.2,119.9,37.5,24.6
2016-04-12 18:00:00,52.4,80.0,160.3,22.6,28.5
2016-04-12 19:00:00,68.4,92.1,197.0,12.6,28.4
2016-04-12 20:00:00,70.3,102.6,210.5,7.2,37.0
2016-04-12 21:00:00,69.6,95.2,201.9,4.7,26.4
2016-04-12 22:00:00,98.3,98.2,248.9,3.7,24.6
2016-04-12 23:00:00,100.6,106.9,261.1,5.2,24.0
2016-04-13 00:00:00,72.6,103.5,214.8,11.0,20.0
2016-04-13 01:00:00,85.5,105.1,236.2,6.3,19.8
2016-04-13 02:00:00,83.8,105.2,233.7,5.7,23.4
2016-04-13 03:00:00,77.8,102.4,221.7,5.7,21.6
2016-04-13 04:00:00,44.6,89.3,157.6,7.2,18.9
2016-04-13 05:00:00,128.6,107.2,304.4,3.7,23.0
2016-04-13 06:00:00,169.7,105.4,365.6,3.7,32.7
2016-04-13 07:00:00,189.9,113.9,405.1,6.2,47.1
2016-04-13 08:00:00,95.0,103.9,249.6,17.6,30.3
2016-04-13 09:00:00,113.3,95.1,268.9,21.1,25.6
2016-04-13 10:00:00,93.1,91.4,234.3,29.0,28.1
2016-04-13 11:00:00,88.3,86.1,216.1,31.5,20.3
2016-04-13 12:00:00,84.6,90.1,217.5,30.5,23.6
2016-04-13 13:00:00,79.0,73.4,197.5,38.9,26.4
2016-04-13 14:00:00,74.5,97.7,211.9,30.0,30.2
2016-04-13 15:00:00,71.5,85.2,194.8,28.5,26.8
2016-04-13 16:00:00,68.1,74.5,178.9,35.9,18.9
2016-04-13 17:00:00,55.4,95.3,180.2,26.5,24.6
2016-04-13 18:00:00,59.5,103.5,194.8,20.5,29.8
2016-04-13 19:00:00,56.5,91.0,177.7,25.0,31.8
2016-04-13 20:00:00,36.7,83.1,139.4,28.5,19.3
2016-04-13 21:00:00,37.4,81.9,139.3,22.0,20.4
2016-04-13 22:00:00,56.2,97.1,183.2,12.6,23.1
2016-04-13 23:00:00,79.4,99.6,221.3,10.6,27.1
2016-04-14 00:00:00,59.7,,168.4,25.5,8.4
2016-04-14 01:00:00,40.7,83.3,145.7,17.5,14.1
2016-04-14 02:00:00,38.6,74.5,133.7,19.5,27.7
2016-04-14 03:00:00,56.9,76.2,163.4,18.0,32.1
2016-04-14 04:00:00,57.3,79.2,167.1,15.0,32.4
2016-04-14 05:00:00,112.0,106.3,277.9,7.6,35.3
2016-04-14 06:00:00,149.0,108.9,337.4,7.1,39.7
2016-04-14 07:00:00,114.6,112.5,288.2,11.1,35.9
2016-04-14 08:00:00,127.7,119.3,315.2,9.6,40.6
2016-04-14 09:00:00,120.2,120.9,305.1,16.0,42.3
2016-04-14 10:00:00,60.7,81.2,174.2,36.4,24.6
2016-04-14 11:00:00,51.7,75.5,154.4,38.3,33.2
2016-04-14 12:00:00,35.2,64.4,118.4,47.8,24.9
2016-04-14 13:00:00,41.6,78.9,142.6,41.8,31.2
2016-04-14 14:00:00,54.3,77.1,160.4,33.9,26.7
2016-04-14 15:00:00,28.1,55.4,98.4,52.7,21.6
2016-04-14 16:00:00,34.1,59.4,111.6,53.2,21.8
2016-04-14 17:00:00,34.8,67.4,120.8,43.8,25.4
2016-04-14 18:00:00,45.3,76.6,146.1,37.3,23.3
2016-04-14 19:00:00,30.3,75.2,121.6,32.9,25.6
2016-04-14 20:00:00,53.6,80.0,164.7,29.4,21.7
2016-04-14 21:00:00,31.1,69.1,116.7,34.8,18.7
2016-04-14 22:00:00,48.7,79.2,153.8,29.9,21.9
2016-04-14 23:00:00,30.3,64.7,111.2,37.8,12.5
2016-04-15 00:00:00,24.2,57.6,94.7,40.6,7.3
2016-04-15 01:00:00,40.7,69.9,132.3,34.7,8.1
2016-04-15 02:00:00,34.8,62.4,115.8,37.8,6.3
2016-04-15 03:00:00,53.2,72.6,154.1,28.4,12.2
2016-04-15 04:00:00,57.7,76.5,165.0,24.9,14.2
2016-04-15 05:00:00,99.0,82.3,234.0,15.5,18.0
2016-04-15 06:00:00,85.1,86.5,216.9,11.5,17.9
2016-04-15 07:00:00,78.0,86.7,206.2,8.5,18.1
2016-04-15 08:00:00,117.8,83.7,264.3,7.0,25.8
2016-04-15 09:00:00,94.5,80.7,225.6,10.0,19.6
2016-04-15 10:00:00,97.1,81.6,232.8,15.0,18.6
2016-04-15 11:00:00,94.1,94.8,239.1,18.9,23.5
2016-04-15 12:00:00,83.2,84.4,212.0,17.4,23.4
2016-04-15 13:00:00,111.4,103.0,273.8,12.5,20.9
2016-04-15 14:00:00,89.3,93.3,230.1,17.4,18.1
2016-04-15 15:00:00,90.4,95.8,234.4,16.4,16.6
2016-04-15 16:00:00,39.7,73.0,133.8,20.4,10.0
2016-04-15 17:00:00,37.8,68.0,125.9,17.9,12.0
2016-04-15 18:00:00,38.5,69.9,129.0,15.4,14.4
2016-04-15 19:00:00,83.3,82.4,210.1,12.5,23.8
2016-04-15 20:00:00,97.2,80.6,229.6,8.5,28.7
2016-04-15 21:00:00,64.1,69.8,168.1,15.4,14.7
2016-04-15 22:00:00,102.8,90.3,245.9,9.0,13.8
2016-04-15 23:00:00,122.4,93.4,282.3,5.5,16.3
2016-04-16 00:00:00,93.3,77.9,221.0,9.5,15.9
2016-04-16 01:00:00,107.4,,247.2,10.8,16.7
2016-04-16 02:00:00,73.1,68.8,179.9,16.4,15.1
2016-04-16 03:00:00,48.3,65.6,140.6,35.2,8.2
2016-04-16 04:00:00,37.4,67.1,121.6,38.7,7.8
2016-04-16 05:00:00,52.8,73.5,154.5,26.8,8.6
2016-04-16 06:00:00,78.4,83.2,203.5,17.4,17.7
2016-04-16 07:00:00,67.5,76.0,179.5,18.9,18.5
2016-04-16 08:00:00,41.2,52.7,115.8,36.7,8.3
2016-04-16 09:00:00,34.8,34.6,87.9,40.7,7.2
2016-04-16 10:00:00,27.2,36.7,78.4,37.2,6.5
2016-04-16 11:00:00,29.9,34.9,80.7,39.7,6.6
2016-04-16 12:00:00,25.0,34.7,73.0,41.6,5.7
2016-04-16 13:00:00,25.7,33.6,73.6,40.7,8.3
2016-04-16 14:00:00,25.4,35.3,74.2,44.6,7.2
2016-04-16 15:00:00,32.5,40.6,88.6,37.2,16.5
2016-04-16 16:00:00,45.7,46.7,116.7,34.2,14.4
2016-04-16 17:00:00,37.4,49.1,104.2,38.7,10.3
2016-04-16 18:00:00,22.3,46.9,81.1,42.1,10.0
2016-04-16 19:00:00,25.0,56.8,95.1,31.7,29.1
2016-04-16 20:00:00,23.5,54.9,90.8,26.8,14.2
2016-04-16 21:00:00,17.8,57.1,84.4,22.8,13.6
2016-04-16 22:00:00,32.9,55.9,106.3,26.3,9.5
2016-04-16 23:00:00,25.3,58.0,96.9,26.8,7.1
2016-04-17 00:00:00,75.8,64.4,180.7,20.0,7.6
2016-04-17 01:00:00,57.7,68.6,157.1,16.0,8.6
2016-04-17 02:00:00,89.0,75.4,211.9,14.4,7.5
2016-04-17 03:00:00,64.2,71.3,169.6,17.8,8.2
2016-04-17 04:00:00,35.5,46.7,101.2,24.3,9.7
2016-04-17 05:00:00,54.4,60.9,140.1,16.8,12.4
2016-04-17 06:00:00,70.6,64.1,172.3,15.3,16.2
2016-04-17 07:00:00,42.7,47.0,112.4,30.7,11.6
2016-04-17 08:00:00,29.1,38.5,83.1,38.1,14.8
2016-04-17 09:00:00,32.1,39.8,89.0,43.1,8.6
2016-04-17 10:00:00,34.0,44.2,96.3,45.0,9.9
2016-04-17 11:00:00,30.2,38.5,84.8,49.5,8.0
2016-04-17 12:00:00,37.0,45.5,102.3,49.0,11.4
2016-04-17 13:00:00,25.7,41.4,80.8,50.0,10.9
2016-04-17 14:00:00,31.0,39.1,86.6,50.0,11.1
2016-04-17 15:00:00,17.4,33.1,59.7,57.4,6.8
2016-04-17 16:00:00,38.1,54.7,113.2,45.5,8.6
2016-04-17 17:00:00,34.0,54.6,106.7,45.5,16.4
2016-04-17 18:00:00,66.1,82.8,184.1,26.2,14.9
2016-04-17 19:00:00,79.3,94.9,216.5,17.8,18.3
2016-04-17 20:00:00,106.1,102.0,264.7,10.9,24.7
2016-04-17 21:00:00,125.4,123.0,315.2,5.4,27.2
2016-04-17 22:00:00,94.8,106.4,248.1,3.9,25.6
2016-04-17 23:00:00,77.4,93.6,212.3,6.4,25.3
2016-04-18 00:00:00,46.7,85.0,156.6,6.7,20.8
2016-04-18 01:00:00,34.1,69.0,121.3,16.0,19.8
2016-04-18 02:00:00,37.8,68.7,126.6,13.3,17.7
2016-04-18 03:00:00,38.9,68.2,127.8,12.8,16.6
2016-04-18 04:00:00,60.8,78.1,171.4,9.8,17.6
2016-04-18 05:00:00,113.7,96.0,267.9,6.4,24.6
2016-04-18 06:00:00,116.4,93.0,271.4,7.9,28.7
2016-04-18 07:00:00,128.1,93.4,289.8,10.3,38.1
2016-04-18 08:00:00,110.7,90.9,260.7,16.8,42.7
2016-04-18 09:00:00,120.9,94.9,280.3,19.7,40.9
2016-04-18 10:00:00,109.6,94.2,269.9,16.3,33.7
2016-04-18 11:00:00,91.8,92.6,233.4,18.2,26.8
2016-04-18 12:00:00,94.9,96.4,241.8,20.2,25.4
2016-04-18 13:00:00,70.7,83.3,191.6,28.6,25.4
2016-04-18 14:00:00,88.4,85.7,221.3,24.2,27.5
2016-04-18 15:00:00,68.0,77.0,181.3,26.1,32.3
2016-04-18 16:00:00,66.1,91.7,193.0,20.2,32.7
2016-04-18 17:00:00,76.3,96.3,213.3,14.8,31.8
2016-04-18 18:00:00,91.5,104.7,245.0,10.3,33.7
2016-04-18 19:00:00,79.8,105.5,227.8,10.3,31.2
2016-04-18 20:00:00,73.3,104.1,216.5,10.3,30.2
2016-04-18 21:00:00,100.6,105.2,260.4,5.8,25.4
2016-04-18 22:00:00,71.4,93.0,202.5,8.8,24.6
2016-04-18 23:00:00,47.2,78.1,150.4,11.8,21.2
2016-04-19 00:00:00,40.1,68.2,129.8,13.9,16.1
2016-04-19 01:00:00,34.6,62.3,115.3,19.2,14.4
2016-04-19 02:00:00,32.8,56.7,107.0,21.2,12.9
2016-04-19 03:00:00,50.2,64.0,141.0,15.2,14.7
2016-04-19 04:00:00,68.0,63.3,167.7,15.7,14.5
2016-04-19 05:00:00,52.5,64.7,145.2,21.2,14.4
2016-04-19 06:00:00,43.8,61.3,128.5,21.6,17.2
2016-04-19 07:00:00,42.3,47.8,112.6,28.6,16.2
2016-04-19 08:00:00,35.1,39.2,94.6,40.4,15.1
2016-04-19 09:00:00,49.5,56.0,131.8,42.4,20.5
2016-04-19 10:00:00,44.6,52.1,120.4,50.8,17.9
2016-04-19 11:00:00,50.6,46.2,123.8,51.3,21.5
2016-04-19 12:00:00,34.3,43.8,96.5,56.7,23.4
2016-04-19 13:00:00,37.7,,102.4,55.2,21.1
2016-04-19 14:00:00,38.9,51.7,108.5,55.2,21.3
2016-04-19 15:00:00,37.0,,99.4,59.2,19.8
2016-04-19 16:00:00,38.5,50.7,109.7,49.8,25.6
2016-04-19 17:00:00,31.3,52.9,100.9,47.8,29.1
2016-04-19 18:00:00,19.5,53.2,83.1,44.3,33.8
2016-04-19 19:00:00,26.3,56.3,93.1,45.8,34.6
2016-04-19 20:00:00,17.6,50.1,77.1,42.8,32.5
2016-04-19 21:00:00,14.2,46.9,68.7,36.4,24.2
2016-04-19 22:00:00,21.0,47.1,79.3,33.9,21.6
2016-04-19 23:00:00,29.0,46.7,91.1,36.4,20.1
2016-04-20 00:00:00,19.9,43.8,74.3,37.6,19.9
2016-04-20 01:00:00,12.3,37.0,55.9,36.9,19.4
2016-04-20 02:00:00,13.0,37.1,57.1,34.4,17.9
2016-04-20 03:00:00,22.2,43.4,77.4,24.5,19.3
2016-04-20 04:00:00,29.7,57.7,103.3,15.7,23.3
2016-04-20 05:00:00,75.3,66.9,182.3,7.8,24.4
2016-04-20 06:00:00,103.8,74.3,233.5,7.7,33.0
2016-04-20 07:00:00,96.2,68.2,214.9,14.2,34.0
2016-04-20 08:00:00,44.2,50.1,117.8,34.4,29.4
2016-04-20 09:00:00,47.6,47.1,120.1,40.8,33.2
2016-04-20 10:00:00,40.0,46.3,107.6,42.8,34.4
2016-04-20 11:00:00,33.9,47.3,99.3,45.3,34.0
2016-04-20 12:00:00,32.4,41.6,90.2,45.3,38.6
2016-04-20 13:00:00,42.3,49.4,114.2,49.2,35.2
2016-04-20 14:00:00,46.4,51.7,121.9,49.2,33.3
2016-04-20 15:00:00,25.9,41.0,80.8,51.2,30.9
2016-04-20 16:00:00,29.3,44.8,89.8,49.2,27.5
2016-04-20 17:00:00,19.5,50.0,79.9,56.1,27.6
2016-04-20 18:00:00,15.7,42.6,66.6,55.1,27.6
2016-04-20 19:00:00,16.0,47.5,72.1,50.2,35.7
2016-04-20 20:00:00,26.3,50.2,90.5,46.7,29.1
2016-04-20 21:00:00,21.7,54.3,87.7,39.3,28.1
2016-04-20 22:00:00,36.9,52.2,108.9,33.9,25.5
2016-04-20 23:00:00,40.4,58.4,120.3,30.4,25.6
2016-04-21 00:00:00,37.6,53.1,110.7,27.6,25.6
2016-04-21 01:00:00,22.9,41.3,76.3,30.9,22.8
2016-04-21 02:00:00,13.0,32.1,52.0,35.8,21.4
2016-04-21 03:00:00,24.8,38.5,76.4,26.5,23.3
2016-04-21 04:00:00,20.2,40.2,71.2,25.5,25.7
2016-04-21 05:00:00,43.8,51.7,118.9,17.6,29.0
2016-04-21 06:00:00,58.2,58.1,147.5,16.1,34.2
2016-04-21 07:00:00,75.4,65.8,181.4,15.1,36.7
2016-04-21 08:00:00,53.3,65.4,147.1,19.0,40.0
2016-04-21 09:00:00,48.2,60.5,134.5,21.7,39.4
2016-04-21 10:00:00,41.9,50.5,120.1,29.4,
2016-04-21 11:00:00,34.6,47.8,100.9,41.7,37.1
2016-04-21 12:00:00,37.3,49.1,106.3,46.2,39.6
2016-04-21 13:00:00,28.9,52.1,91.5,51.6,41.3
2016-04-21 14:00:00,42.6,55.5,117.7,53.1,40.5
2016-04-21 15:00:00,34.6,55.3,103.4,56.5,34.8
2016-04-21 16:00:00,33.1,60.1,107.1,48.1,33.5
2016-04-21 17:00:00,40.7,63.2,125.7,38.2,30.7
2016-04-21 18:00:00,44.5,62.1,130.4,32.8,33.5
2016-04-21 19:00:00,30.8,58.7,106.0,40.2,26.8
2016-04-21 20:00:00,28.6,47.1,90.9,41.7,18.7
2016-04-21 21:00:00,27.4,44.6,86.6,45.1,19.5
2016-04-21 22:00:00,41.1,55.3,118.3,38.2,18.9
2016-04-21 23:00:00,33.1,,104.7,39.2,21.4
2016-04-22 00:00:00,31.5,,91.3,46.6,18.8
2016-04-22 01:00:00,23.4,,73.8,51.9,18.8
2016-04-22 02:00:00,19.8,34.6,65.0,54.0,14.3
2016-04-22 03:00:00,16.8,38.2,63.9,51.5,16.7
2016-04-22 04:00:00,20.6,39.5,71.1,43.1,16.0
2016-04-22 05:00:00,29.7,47.7,93.2,36.2,16.0
2016-04-22 06:00:00,56.0,61.4,147.5,25.4,19.5
2016-04-22 07:00:00,43.4,55.4,120.7,29.8,24.6
2016-04-22 08:00:00,50.6,62.2,139.9,30.8,35.5
2016-04-22 09:00:00,57.5,60.5,148.7,36.7,37.2
2016-04-22 10:00:00,43.8,55.9,123.1,41.1,37.2
2016-04-22 11:00:00,42.6,57.1,122.5,43.6,38.1
2016-04-22 12:00:00,54.1,64.5,156.2,39.2,45.2
2016-04-22 13:00:00,67.8,71.4,174.5,31.3,35.1
2016-04-22 14:00:00,53.3,72.1,153.8,25.9,30.4
2016-04-22 15:00:00,44.9,62.1,131.0,25.9,27.2
2016-04-22 16:00:00,58.3,67.3,156.6,23.9,26.4
2016-04-22 17:00:00,28.2,58.0,101.2,28.3,18.3
2016-04-22 18:00:00,36.6,58.8,114.9,26.8,26.1
2016-04-22 19:00:00,42.7,51.6,117.0,30.3,18.3
2016-04-22 20:00:00,44.2,55.3,123.1,32.2,20.9
2016-04-22 21:00:00,43.8,63.3,130.4,26.3,22.5
2016-04-22 22:00:00,41.1,55.9,118.9,26.8,15.9
2016-04-22 23:00:00,41.9,52.8,117.1,29.8,15.2
2016-04-23 00:00:00,38.6,44.8,104.0,28.1,14.7
2016-04-23 01:00:00,24.4,37.9,75.3,28.8,14.5
2016-04-23 02:00:00,22.1,42.6,76.4,30.7,15.6
2016-04-23 03:00:00,28.2,38.9,81.0,31.2,10.6
2016-04-23 04:00:00,12.6,33.8,53.1,33.7,10.0
2016-04-23 05:00:00,17.9,33.9,61.4,32.7,7.8
2016-04-23 06:00:00,19.8,35.2,65.5,33.7,10.0
2016-04-23 07:00:00,22.1,34.0,67.9,39.6,16.6
2016-04-23 08:00:00,19.4,32.1,61.9,45.5,14.6
2016-04-23 09:00:00,16.0,29.6,54.1,51.9,13.5
2016-04-23 10:00:00,16.4,30.8,55.9,52.9,13.6
2016-04-23 11:00:00,16.8,30.3,56.5,53.9,13.0
2016-04-23 12:00:00,20.9,34.6,66.7,55.8,15.4
2016-04-23 13:00:00,19.8,29.0,59.4,54.8,13.5
2016-04-23 14:00:00,13.3,30.7,51.2,58.3,12.1
2016-04-23 15:00:00,18.7,35.7,64.4,57.8,13.2
2016-04-23 16:00:00,17.1,35.7,62.0,58.3,14.3
2016-04-23 17:00:00,16.8,36.9,62.6,58.3,16.1
2016-04-23 18:00:00,19.8,44.9,75.3,46.9,20.8
2016-04-23 19:00:00,23.2,54.8,90.4,34.6,17.6
2016-04-23 20:00:00,35.8,64.9,119.8,25.8,20.4
2016-04-23 21:00:00,19.8,67.0,97.4,25.3,24.6
2016-04-23 22:00:00,43.0,71.2,137.2,19.4,18.1
2016-04-23 23:00:00,29.3,64.1,109.1,23.3,17.5
2016-04-24 00:00:00,59.4,77.9,169.0,17.5,16.3
2016-04-24 01:00:00,36.1,61.0,116.3,26.7,15.2
2016-04-24 02:00:00,25.1,44.4,83.0,31.2,12.5
2016-04-24 03:00:00,28.6,37.8,81.6,37.1,12.4
2016-04-24 04:00:00,8.0,20.1,32.4,53.8,7.5
2016-04-24 05:00:00,9.5,25.1,39.7,58.7,6.1
2016-04-24 06:00:00,12.2,29.4,48.1,54.3,7.7
2016-04-24 07:00:00,21.3,31.3,61.7,56.3,9.9
2016-04-24 08:00:00,17.9,34.5,61.9,59.7,13.7
2016-04-24 09:00:00,9.9,31.2,46.4,68.1,12.9
2016-04-24 10:00:00,13.0,30.0,49.9,71.5,15.8
2016-04-24 11:00:00,9.1,21.4,35.4,74.4,20.2
2016-04-24 12:00:00,7.2,22.5,33.6,73.0,11.2
2016-04-24 13:00:00,17.1,33.8,60.1,65.6,12.6
2016-04-24 14:00:00,17.5,30.1,57.0,63.1,13.7
2016-04-24 15:00:00,15.6,36.2,60.2,62.1,15.0
2016-04-24 16:00:00,33.5,48.3,99.7,45.4,14.7
2016-04-24 17:00:00,43.8,56.5,123.7,37.0,13.3
2016-04-24 18:00:00,77.7,86.1,205.3,18.3,19.6
2016-04-24 19:00:00,61.3,73.5,167.5,15.9,16.9
2016-04-24 20:00:00,62.1,75.3,170.5,15.4,17.2
2016-04-24 21:00:00,71.6,83.5,193.3,11.9,16.7
2016-04-24 22:00:00,62.5,73.1,171.1,13.9,16.8
2016-04-24 23:00:00,51.4,72.0,150.9,12.9,18.8
2016-04-25 00:00:00,43.7,63.6,130.6,11.6,17.7
2016-04-25 01:00:00,40.6,65.2,127.5,12.9,17.4
2016-04-25 02:00:00,52.2,67.1,147.1,9.9,19.9
2016-04-25 03:00:00,38.5,63.1,122.1,11.9,16.7
2016-04-25 04:00:00,41.1,58.9,122.0,14.4,15.1
2016-04-25 05:00:00,78.5,73.3,193.6,9.9,16.3
2016-04-25 06:00:00,110.5,82.1,251.4,6.0,22.8
2016-04-25 07:00:00,162.3,87.8,337.7,5.0,29.7
2016-04-25 08:00:00,172.2,88.5,352.5,7.0,39.7
